id,ts,iso_ts,event,actor,ip,payload
110,1779662626996,2026-05-24T22:43:46.996Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
111,1779662628323,2026-05-24T22:43:48.323Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
112,1779662676193,2026-05-24T22:44:36.193Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
113,1779662701179,2026-05-24T22:45:01.179Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
114,1779662785306,2026-05-24T22:46:25.306Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
115,1779662787269,2026-05-24T22:46:27.269Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
116,1779662819347,2026-05-24T22:46:59.347Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
117,1779662823092,2026-05-24T22:47:03.092Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
118,1779662835640,2026-05-24T22:47:15.640Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
119,1779662858903,2026-05-24T22:47:38.903Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
120,1779662884613,2026-05-24T22:48:04.613Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
121,1779662888247,2026-05-24T22:48:08.247Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
122,1779662908337,2026-05-24T22:48:28.337Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
123,1779662974507,2026-05-24T22:49:34.507Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
124,1779662978812,2026-05-24T22:49:38.812Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
125,1779663001659,2026-05-24T22:50:01.659Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
126,1779663027320,2026-05-24T22:50:27.320Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
127,1779663202304,2026-05-24T22:53:22.304Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
128,1779663206149,2026-05-24T22:53:26.149Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
129,1779663208629,2026-05-24T22:53:28.629Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
130,1779663263684,2026-05-24T22:54:23.684Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
131,1779663283416,2026-05-24T22:54:43.416Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
132,1779663289257,2026-05-24T22:54:49.257Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
133,1779663292472,2026-05-24T22:54:52.472Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
134,1779663301067,2026-05-24T22:55:01.067Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
135,1779663342599,2026-05-24T22:55:42.599Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
136,1779689886350,2026-05-25T06:18:06.350Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
137,1779689888663,2026-05-25T06:18:08.663Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
138,1779689892278,2026-05-25T06:18:12.278Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
139,1779689942215,2026-05-25T06:19:02.215Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
140,1779690001824,2026-05-25T06:20:01.824Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
141,1779690301109,2026-05-25T06:25:01.109Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
142,1779690432309,2026-05-25T06:27:12.309Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
143,1779690433910,2026-05-25T06:27:13.910Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
144,1779690479034,2026-05-25T06:27:59.034Z,scan.complete,system ,,"{""devices_found"":9,""subnet"":""192.168.8.0/24""}"
145,1779690601014,2026-05-25T06:30:01.014Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
